dosage_form_id,display_name,normalized_name
DOSE-019d1acfaf69f01c16267407,Blood bag,blood bag
DOSE-021624ecb7e008142371f6a5,Shampoo,shampoo
DOSE-03430c23066df1f25f6991b8,Dental Gel,dental gel
DOSE-036578132bb584ac6108d821,Vaginal Cream,vaginal cream
DOSE-03c6bb35a23379f1784ee299,Vaginal Tablet,vaginal tablet
DOSE-088052749bdf8ffdb4c4ab83,Hand Rub,hand rub
DOSE-0cdf30be9a2f2a8d44254430,Transdermal Patch,transdermal patch
DOSE-0dc63df5faaeb0e60cd08cd1,Eye Gel,eye gel
DOSE-1071dc8f1e4a3a73977af496,Eye & Nasal Drops,eye nasal drops
DOSE-122bd6142dfe21e956e30e2a,Medicated Bar,medicated bar
DOSE-1415e4c282b511b86f7b3a09,SC Injection,sc injection
DOSE-147e5482616d2c8314733ed6,Sached Powder,sached powder
DOSE-14a60a0a29dc35346c7a0f6d,Respirator Solution,respirator solution
DOSE-1582542688b03bd4caf949f4,Emulsion for infusion,emulsion for infusion
DOSE-15c6aea83a66feae2bb184d9,Ear Drop,ear drop
DOSE-18f65eff1f1b546ab6eaae57,Pour On (Solution),pour on solution
DOSE-1d67d735c6cd394a11d7fc49,Linctus,linctus
DOSE-1d967dcccbfb3df55c1fa632,Solution For Infusion,solution for infusion
DOSE-1ec6ebfaab515e91c4dad40a,Hfa Inhaler,hfa inhaler
DOSE-22faaf9c577e84b184c02d5e,Ophthalmic Emulsion,ophthalmic emulsion
DOSE-23ab063614f63ddeeccda7d8,M R Tablet,m r tablet
DOSE-23ca45bc4fcbd8d86db17cd1,Tincture,tincture
DOSE-23cf07cf02e563bedf6b2f12,Per Rectal,per rectal
DOSE-245b94e10414433ba2b1bdd9,Bolus,bolus
DOSE-269ded32de4314e80db070c0,Oral Saline,oral saline
DOSE-28133e736cfbe846f0662722,Intratracheal Suspension,intratracheal suspension
DOSE-2858b68772894c5e6e17e4ab,Long Acting Injection,long acting injection
DOSE-297befe070bc2c8cd6721c32,Scalp Solution,scalp solution
DOSE-2985e90fb6422da31c8ebb7d,Water For Injection,water for injection
DOSE-2b35349668827aa2c8a799c0,Cr Capsule,cr capsule
DOSE-2b8787e534ad542bd16f261d,Oral Emulsion,oral emulsion
DOSE-2cb8418d32b0a31ddf395bfb,Solution Fo Root Cannel,solution fo root cannel
DOSE-2cf8407a262e14761becb1bb,IM Injection,im injection
DOSE-2f6c133200c5034888611ffd,Raw Materials,raw materials
DOSE-2fe840e13244a9d748883574,Gas,gas
DOSE-30347c11b5075baf80e0564c,Orodispersible Tablet,orodispersible tablet
DOSE-3421487d72a06777b7a20b5d,Water Soluble Powder,water soluble powder
DOSE-355cf1a5f969bae73e724a0f,Er Capsule,er capsule
DOSE-35a148ae3d481f5de2cceca8,Oral Suspension,oral suspension
DOSE-367199a3de04eede0d420556,Capsule (Extended Release),capsule extended release
DOSE-3a532c071429da5679330509,Vaginal Gel,vaginal gel
DOSE-3e089049327657218379ca9a,Oral Soluble Film,oral soluble film
DOSE-3e46c8846ec5016c238d9f68,Gum,gum
DOSE-3ecc219798f9ead3e8f65c18,Nasal Drops,nasal drops
DOSE-41ce1734247826796a68d431,Eye and Ear Ointment,eye and ear ointment
DOSE-42110162e06395fd53647c77,Liquid,liquid
DOSE-430ec1309c76ec18f9a3405a,Ophthalmic Suspension,ophthalmic suspension
DOSE-4549f6e7f08ab27b640a4d4b,IV Infusion,iv infusion
DOSE-45cab2ccb6c37655371a8fc2,Powder for Solution,powder for solution
DOSE-45ff0d963454d59a5b7357da,Eye Drops,eye drops
DOSE-471bcf3ba0df253d3971bbb9,Drops,drops
DOSE-4775187339fbb52735798c62,Oral Gel,oral gel
DOSE-49445bc961f091bddfc86bf7,Mouth Wash Antiseptic,mouth wash antiseptic
DOSE-4a218bc4af44573e33c77f94,IV Injection,iv injection
DOSE-4c4043620833da51130a2ca8,Inhalation Solution,inhalation solution
DOSE-4ca312ce0e64b01576d9be55,Oral Drops,oral drops
