ingredient_id,display_name,normalized_name
ING-003fd98cccc485859b54b4a9,Sulphapyridine,sulphapyridine
ING-0085e5f484b06f1f67fefaa1,Coenzyme Q10 [Ubidecarenone],coenzyme q10 ubidecarenone
ING-00e1c4227a8d4f183ab98118,Ponatinib Hydrochloride,ponatinib hydrochloride
ING-01022faf678f2d43cfccde64,Cyclizine Hydrochloride,cyclizine hydrochloride
ING-0103bbf84ff0c39d123ae7cd,Digoxin,digoxin
ING-010ebd0e9b4696daf47890fb,Nevirapine,nevirapine
ING-011c9a676a993b960d157fe3,Lenvatinib Mesylate,lenvatinib mesylate
ING-013e1b5f60405434d8c13c76,Selinexor,selinexor
ING-014a5e7c377fc95f1cf6eb6c,Potassium Iodide,potassium iodide
ING-019ca7179d6be69898a18cee,Tetramisole,tetramisole
ING-0209e6dc63c379153f3a7f96,Chlorpheniramine Maleate,chlorpheniramine maleate
ING-020a98c080e9f4004e0c6ebe,Clostridium Botulinum Toxin Type A Neurotoxin,clostridium botulinum toxin type a neurotoxin
ING-021d1839aa52f7fe076904ae,Sulconazole Nitrate,sulconazole nitrate
ING-022c2b50b0fd4b442faaa27a,Cascara Sagrada,cascara sagrada
ING-0230d04ba2427aa28522353b,Tamoxifen,tamoxifen
ING-0236f85aa270828a0c6fd807,Vitamin D3,vitamin d3
ING-023ff8556233c2934adf07c8,Linseed Oil,linseed oil
ING-024e79b63fd1aabfa869eb1b,Buzuri,buzuri
ING-027ae8f3b7961fe1dc7f8101,Nab-Paclitaxel [Nanoparticle Albumin-Bound Paclitaxel],nab paclitaxel nanoparticle albumin bound paclitaxel
ING-029028a8a81c564ea23c2693,Azelastine Hydrochloride,azelastine hydrochloride
ING-02995b866e66daf4dd530728,Betamethasone Sodium Phosphate,betamethasone sodium phosphate
ING-02c60fb5530cf33719880729,Ampicillin Sodium,ampicillin sodium
ING-02d130d71a75e19bbe869308,Enzalutamide,enzalutamide
ING-02d2885c55419c01bdc431bb,Multivitamin & Multimineral [A-Z gold preparation],multivitamin multimineral a z gold preparation
ING-02e24686ed2deaabeb9aa03b,Zidovudine,zidovudine
ING-02fb3e88a3389ba2d68e5378,Aminophylline,aminophylline
ING-0302fe55cfd6d4c5b7c6b5d8,Isoniazid,isoniazid
ING-030eb8369f7b1118bbb8699a,Tazobactam,tazobactam
ING-0325be53f4bea36c2f74bb5e,Palonosetron,palonosetron
ING-03281ead5288818415a56341,Rocuronium Bromide,rocuronium bromide
ING-033d2dc83d358f20cee10205,L-Histidine Hcl,l histidine hcl
ING-03e5987bc90f99924768824b,Atosiban,atosiban
ING-040e1c5cffb86d241b0c85db,Boric Acid,boric acid
ING-0417912ffd3cfefb48f76c0d,Naloxone Hydrochloride,naloxone hydrochloride
ING-044f1fd57a5eaa5db4ecf542,Selpercatinib,selpercatinib
ING-0487c973d003d3749ec8e8a7,Isoflurane,isoflurane
ING-04897778e1a0df2215a81977,Amoxicillin Capsule,amoxicillin capsule
ING-04a522addd4fbeadb6489dce,Hydroxyurea,hydroxyurea
ING-04b0d7e895a973269167650e,Disposable Syringe,disposable syringe
ING-04c99b776c4554096c1460af,Asparagus,asparagus
ING-04ca45d92cc9f954a542bcbb,Semaglutide (Injection),semaglutide injection
ING-04e9c0db87e7eebbf8123dae,Iron,iron
ING-04ea3a726eb768824a75370c,Ipratropium Bromide,ipratropium bromide
ING-04ec8b1f3035f0bb52013b7a,Mentha,mentha
ING-0512f271ac8d5c777a1be628,Finasteride [For Androgenic Alopecia],finasteride for androgenic alopecia
ING-0526c3a97742a190a3187a40,Glycopyrronium Bromide (Inhalation capsule),glycopyrronium bromide inhalation capsule
ING-052ce1c0fe4434d0f9d01af2,Olopatadine,olopatadine
ING-05400f26edadea4e5e2b1c10,Mesalazine,mesalazine
ING-0550200054a62868f7c337d3,Drotaverine Hydrochloride,drotaverine hydrochloride
ING-0555d07fc536eff02d9951e9,Glucosamine Sulphate,glucosamine sulphate
ING-057d043f7333e03dc623f39f,Aclidinium Bromide,aclidinium bromide
ING-05b2886edce28290bb97bb29,Bilberry fruit [Vaccinium myrtillus L],bilberry fruit vaccinium myrtillus l
ING-05ba1f5de878b36253c0a9ca,Centella asiatica,centella asiatica
ING-05f7bb5e0a32a9a795817bc6,Clotrimazole (Topical),clotrimazole topical
ING-06078402069b32b13525ed1a,Warfarin Sodium,warfarin sodium
ING-063937f234a3b216c1c0a9d1,"Vitamin B6, B9 & B12",vitamin b6 b9 b12
ING-063ced8318b96e9b76d1e8b7,Probiotic Combination [3.2 Billion],probiotic combination 3 2 billion
ING-0650de3c24bdd4911bbdc754,Rasagiline,rasagiline
ING-06851fe98c2134b398888177,Ledipasvir,ledipasvir
ING-0699a2e4095478e9cf5d4720,Deflazacort,deflazacort
ING-06a196fa452c780bcf96f2d4,Allylestrenol,allylestrenol
ING-06c5213956c7b2f722004640,Coagulation Factor VIIa [Eptacog Alfa],coagulation factor viia eptacog alfa
ING-06f41d310b1b6341ef334212,Cefoperazone,cefoperazone
ING-073ec9ab913d32c70f5b6f7e,Zuclopenthixol,zuclopenthixol
ING-07b9639e03e7c632555e4f87,Niacin,niacin
ING-07c4c48fec0b18899cdb71f0,Chloramphenicol (Ophthalmic),chloramphenicol ophthalmic
ING-07e16b0930fccbd2b6c0ad07,Isopropyl Myristate,isopropyl myristate
ING-080fc3cced8c39140fd1c506,Bortezomib,bortezomib
ING-08387c9233da312a20c178f0,Olmesartan Medoxomil,olmesartan medoxomil
ING-08857c3914c553cca24193c6,Isotretinoin (Topical),isotretinoin topical
ING-0887401cfe6dd7a10ffea242,Cephalexin,cephalexin
ING-08973eb924fc724aee7763d8,Levosalbutamol Sulphate,levosalbutamol sulphate
ING-08a94c55847866a530b7ac58,Vonoprazan Tablet,vonoprazan tablet
ING-08aa1b53e8352da458f102b6,Tivozanib Hydrochloride,tivozanib hydrochloride
ING-08aca309367bb8acb2d69c85,Lasmiditan,lasmiditan
ING-08ddff4ebe39249a9208cd30,Ginger,ginger
ING-08e27c4cb92e69a81c7d33d9,Calcium Citrate,calcium citrate
ING-08e69894c0b3a98cfb51ecfe,Fluticasone Propionate,fluticasone propionate
ING-08e9dbd4534fab0aff60da09,Levothyroxine Sodium,levothyroxine sodium
ING-08ff5a00951256bbe7516ce7,Curcuma Longa [Turmeric Extract],curcuma longa turmeric extract
ING-09147e57ee2f28ee0add5ff7,Tobramycin (Ophthalmic),tobramycin ophthalmic
ING-092aa94ac567ed2eb11c3742,Basiliximab,basiliximab
ING-096d38d2ad740adbdbcfa954,Tucatinib,tucatinib
ING-09881f6ed93360a2f6ad81f4,Needle,needle
ING-09aa3329a405de06a49c5c3d,Long Pepper,long pepper
ING-09cf288fad8f6526e9c717d1,Primaquine Phosphate,primaquine phosphate
ING-0a10c3bdd0b1872242afc238,Tetrahydrozoline,tetrahydrozoline
ING-0a4b19ce9282577c3803f1ce,Budesonide (Tablet),budesonide tablet
ING-0a594d9dab3129a3ebc8458b,Tetryzoline,tetryzoline
ING-0a82e672a6e06582f9770635,Streptokinase,streptokinase
ING-0aa9b906e39b8e6b3c3cd045,Sorafenib Tosylate,sorafenib tosylate
ING-0ac62233169355294a749d2a,Mirogabalin,mirogabalin
ING-0ad866134b29447a43d26cb9,Yohimbine Hydrochloride,yohimbine hydrochloride
ING-0af665a5853505036ce4d33b,Rosiglitazone,rosiglitazone
ING-0b5279b99ed88c966f0885fc,Brexpiprazole,brexpiprazole
ING-0b56cc240e600882d44da6ed,Rupatadine,rupatadine
ING-0b715836f1d3afd52ba2b245,Levomenthol,levomenthol
ING-0b725fb69f27c449385e71b6,Fluvoxamine Maleate,fluvoxamine maleate
ING-0ba6d83eaac36b15309ed559,Betamethasone,betamethasone
ING-0beb5facd7fd2c96c6145329,Tioconazole,tioconazole
ING-0c4290ef309293a81fe5e903,Oral Rehydration Salt [Powder],oral rehydration salt powder
ING-0c727a5d898b850a15f24e5d,5 Aminosalicylic Acid,5 aminosalicylic acid
ING-0ca9cd0c0d2d0931202892c3,Gramacidin,gramacidin
ING-0cfc6adc2adf78a4ad8f3681,Tolnaftate,tolnaftate
ING-0d22801a76f9a18f28da1e6c,Insulin Aspart Protamine & Mixture,insulin aspart protamine mixture
ING-0d39846004cfa4038378d577,Protamine Crystallised Insulin Aspart,protamine crystallised insulin aspart
ING-0d46756063582c2f68a70b46,Talazoparib,talazoparib
ING-0d6f8afa3940b7f06bebee65,Sodium Chloride,sodium chloride
ING-0da7800fc69328a280003ad0,Iodide,iodide
ING-0df467db8b872faba520fe57,Sodium Stibogluconate,sodium stibogluconate
ING-0e4117925664a8d9bb1b060c,Moxifloxacin Hydrochloride,moxifloxacin hydrochloride
ING-0e613bcdc3c64d63c9411d74,Chirata [Swertia Chirata],chirata swertia chirata
ING-0e8452f6168f709d80e2ed61,Piper longum,piper longum
ING-0e9acd11b1a5800be330ff27,Conjugated Estrogen (Cream),conjugated estrogen cream
ING-0e9b8e2bb5e717144a394629,Lopinavir,lopinavir
ING-0ea16900851f91d0afe03a2b,Sodium Dihydrogen Phosphate,sodium dihydrogen phosphate
ING-0eac78592e92f0c85cb82730,Flupenthixol,flupenthixol
ING-0eb962e9fb96e6b4629cab6c,Esomeprazole,esomeprazole
ING-0ebf41ec93332058e04852e5,Aflibercept,aflibercept
