manufacturer_alias_id,manufacturer_id,alias_original,alias_normalized,source_record_id,match_method
MFRA-014e9341e7e911ac9d8296ce,MFR-0d5189f8d476ff6fbb66f62e,"Eskayef Pharmaceuticals Ltd., Narayanganj",eskayef pharmaceuticals limited narayanganj,SRCR-f65d51c4a1333df20e84a24e,DETERMINISTIC_NORMALIZATION
MFRA-01a1b449f6caa8dd5a0aa4d4,MFR-e5faacdcbb1865ff3aa28cfb,Indo Bangla Pharmaceutical,indo bangla pharmaceuticals,SRCM-a15f494ef224c9698ec09bbf,DETERMINISTIC_NORMALIZATION
MFRA-0320b3a73dc10f9d040784cd,MFR-2db50205921a2ea6069d5586,Global Heavy Chemicals Ltd.,global heavy chemicals limited,SRCR-2ba764afd551c198cb0cf314,DETERMINISTIC_NORMALIZATION
MFRA-03d3c3f3805cb00c26fc023e,MFR-318260333820ba46edae18cb,Shinil Pharma Limited,shinil pharma limited,SRCR-65a698dc71476c903f50ccec,DETERMINISTIC_NORMALIZATION
MFRA-040e9375ef9d49b77dd6bfb5,MFR-5417d7357ea0b212133ac599,Goodman Pharmaceuticals Ltd,goodman pharmaceuticals limited,SRCR-4f4dbce9d0416309c00fb5bd,DETERMINISTIC_NORMALIZATION
MFRA-05f2421f023700a1c23ffee5,MFR-d296478bf67be8ed5f14c4b6,"Square Pharmaceuticals PLC, Gazipur",square pharmaceuticals plc gazipur,SRCR-0c64fdd786963363cc7a8247,DETERMINISTIC_NORMALIZATION
MFRA-060790140ebd26d0d861de8c,MFR-39208abd8e352a6233df9bfb,Ziska Pharmaceuticals Ltd.,ziska pharmaceuticals limited,SRCR-102e454c0fdca85bcac7c43f,DETERMINISTIC_NORMALIZATION
MFRA-06c013ec8135d2d521387af6,MFR-d88212770f8dddf154483d60,Biotest,biotest,SRCM-7ffbeca603f1694f3f57d8e5,DETERMINISTIC_NORMALIZATION
MFRA-077ed57bd2ddeefbb3e94a2e,MFR-cb787b80c55423d010dec94b,"Renata Limited, Gazipur",renata limited gazipur,SRCR-2ae690fee91248d8820643aa,DETERMINISTIC_NORMALIZATION
MFRA-078ad0c16b3d544ae658b26c,MFR-07e61b5571187d0cc67d0c2c,"Square Lifesciences Limited, Pabna",square lifesciences limited pabna,SRCR-336ed49fca25c355e336f4a5,DETERMINISTIC_NORMALIZATION
MFRA-08b61b022ae9a526359015a4,MFR-c4d854ec4daac77c515d43d4,Merck,merck,SRCM-b0c20266cb3968175440d571,DETERMINISTIC_NORMALIZATION
MFRA-0a2de61bb5f08620817b0d8c,MFR-0ca9b70ffbc027a73f7c23e5,Albion Animal Feed Products (Veterinary),albion animal feed products veterinary,SRCR-9bfe6ae92ed78dfb0fa71022,DETERMINISTIC_NORMALIZATION
MFRA-0a6aea52a14b1ad44875164a,MFR-7939936603a398b94bff00b4,Cosmo Pharma Ltd.,cosmo pharma limited,SRCM-608c83b01e0a3c89f7676f0f,DETERMINISTIC_NORMALIZATION
MFRA-0aa4296d6e248b233a361deb,MFR-44d758fc5381ae4d31a1a926,Desh Pharmaceuticals Ltd.,desh pharmaceuticals limited,SRCR-fab24d6e516fe83120f96e99,DETERMINISTIC_NORMALIZATION
MFRA-0b0cc64f44b949fec94ff2ec,MFR-1ab6e22a39a130e43b4ca9f6,Gonoshasthaya Pharma Ltd.,gonoshasthaya pharma limited,SRCM-1c546a316d19054e27802288,DETERMINISTIC_NORMALIZATION
MFRA-0b2c914eaa33c3dc6db82a65,MFR-bb7b8ed38884e90682cae45c,Quality Pharmaceuticals (Pvt) Ltd.,quality pharmaceuticals private limited,SRCR-e282bb66d078ed10086104ee,DETERMINISTIC_NORMALIZATION
MFRA-0bdc151456ecca448087da83,MFR-f874abf74f3215a4ff055153,Novo Healthcare and Pharma Ltd. (Unit-2),novo healthcare and pharma limited unit 2,SRCR-7c708f76cc5a55ec86aa0721,DETERMINISTIC_NORMALIZATION
MFRA-0d69bb164fff8f4e9c1cc955,MFR-3e8a504d8ed3d882b830c897,Genzyme Corporation,genzyme corporation,SRCM-20b8989ee427b437d91fad7c,DETERMINISTIC_NORMALIZATION
