manufacturer_id,display_name,normalized_name,source_verified
MFR-007af40e83f8b5d7dfb26928,One Pharma Ltd.,one pharma limited,0
MFR-0154f8db7f97f7197d23ba63,JMI Syringes & Medical Devices Ltd.,jmi syringes medical devices limited,0
MFR-01fa24bba5b34973451aab08,Union Oxygen Limited,union oxygen limited,0
MFR-020cde81fb6b292177c76c70,Incepta Pharmaceuticals Ltd.,incepta pharmaceuticals limited,0
MFR-041a2a725a2a7edcab9a408b,Asiatic Laboratories Ltd.,asiatic laboratories limited,0
MFR-04c6dacb25ef53f55c210331,Opsonin Bulk Drugs Ltd.,opsonin bulk drugs limited,0
MFR-04cfebf7248a8a5c22514ce5,Mundipharma (BD) Pvt. Ltd.,mundipharma bd private limited,0
MFR-050a5a129d528beb55fba768,Baxter,baxter,0
MFR-0592c73d3ce16d7db7cff37b,Seba Laboratories Ltd.,seba laboratories limited,0
MFR-05c34b7f1d088a654f27537f,Greenland Pharmaceuticals Ltd.,greenland pharmaceuticals limited,0
MFR-06057df352d5223af7cac507,Amico Laboratories Ltd.,amico laboratories limited,0
MFR-07247d2afd2bcb260394057e,Janssen-Cilag,janssen cilag,0
MFR-07e61b5571187d0cc67d0c2c,"Square Lifesciences Limited, Pabna",square lifesciences limited pabna,0
MFR-08a3b24ffe0e4707f74a0eeb,Novartis (Bangladesh) Ltd.,novartis bangladesh limited,0
MFR-092956826f84a45e4585ed09,Bridge Pharmaceuticals Ltd.,bridge pharmaceuticals limited,0
MFR-0952d243d81c3e395d038cc1,EGIS Pharmaceuticals Ltd.,egis pharmaceuticals limited,0
MFR-09a1ad487a4c48965b5e6263,Radiant Nutraceuticals Ltd.,radiant nutraceuticals limited,0
MFR-0bac8a96047b3a246041cf4c,Bengal Drugs & Chemical Works Pharm. Ltd.,bengal drugs chemical works pharm limited,0
MFR-0c2b07237115e18e42f566c0,Alco Pharma Ltd.,alco pharma limited,0
MFR-0ca9b70ffbc027a73f7c23e5,Albion Animal Feed Products (Veterinary),albion animal feed products veterinary,0
MFR-0d5189f8d476ff6fbb66f62e,"Eskayef Pharmaceuticals Ltd., Narayanganj",eskayef pharmaceuticals limited narayanganj,0
MFR-0febad1a60fdfed7a397b904,Reman Drug Laboratories Ltd.,reman drug laboratories limited,0
MFR-0fec47648d39c7b22ddea227,"Sonargaon Steel Fabricate Ltd., (Oxygen Plant)",sonargaon steel fabricate limited oxygen plant,0
MFR-12f08b8d473eecd6abfa9724,NIPRO JMI Company Ltd.,nipro jmi company limited,0
MFR-157abe72c6a5fcaeb6334fe3,Nip Chemicals And Pharmaceuticals Ltd.,nip chemicals and pharmaceuticals limited,0
MFR-173901bdfd83d00fc55c532f,APC Pharma Limited,apc pharma limited,0
MFR-18bc2ed029bb19fb372c5d5d,JMI Industrial Gas Ltd.,jmi industrial gas limited,0
MFR-18bf67c1aaece44fea5a91ac,Get Well Limited,get well limited,0
MFR-197287da5b6773499d9da600,"Techno Drugs Ltd., Satipara, Narshingdi",techno drugs limited satipara narshingdi,0
MFR-1ab6e22a39a130e43b4ca9f6,Gonoshasthaya Pharma Ltd.,gonoshasthaya pharma limited,0
MFR-1aebdacc679f2158eec67f50,Pharmacil Limited,pharmacil limited,0
MFR-1be67d8dff44dcd9c8de939f,CSL Behring,csl behring,0
MFR-1c19d8c59796223a98125a9b,Novus Pharmaceuticals Ltd.,novus pharmaceuticals limited,0
MFR-1d47211f7fa65ad3e7440b29,Pharmatek Chemicals Ltd.,pharmatek chemicals limited,0
MFR-1d7ed7e2c667137b96a4db5e,Ethical Drug Ltd.,ethical drug limited,0
MFR-1e0744b4adadfba6775fd9a4,Prime Pharmaceuticals Ltd.,prime pharmaceuticals limited,0
MFR-1e1178b490877e9e31c745c6,Total Natural Company,total natural company,0
MFR-1e72de9c08d861a77a5d7bda,Medicon Pharmaceuticals Ltd.,medicon pharmaceuticals limited,0
MFR-1e88ee79b7014109ef0f70f8,"Techno Drugs Ltd., Gazipur",techno drugs limited gazipur,0
MFR-1efa17cf2f80edb7d68b34a6,"Hexal AG, Germany",hexal ag germany,0
MFR-1fa4ae172a8f90bce93a2689,"Drug International Ltd., Squib Road",drug international limited squib road,0
MFR-2166fabd8a8de89fd28f8124,Kemiko Pharmaceuticals Ltd.,kemiko pharmaceuticals limited,0
MFR-23156bb14c46231d13ec3a8e,Sun Pharmaceutical (Bangladesh) Ltd.,sun pharmaceuticals bangladesh limited,0
