conflict_id,medicine_id,conflict_type,source_record_ids,details,status
CONFLICT-00092effb2719ee033488bc5,MED-b2766c34ae2c5473afcb567d,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-dce1a0014a33b1e4af8b49b2,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-000a28b05ae0b34657fe5c8c,MED-6d8a5d5bf0d414bb85056add,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-d863c0bc7e27530d552d6f8a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-000a91d7547f57c69d0895dd,MED-b1144c17b09eacc9ab7015ca,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-57cf1d40741fcfd043c9f12e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0012b473665041844f432cb3,MED-2495f34e316cc615c7792060,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-cdc828a247d6e75d23256d0a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-001a2f81195cbbd52fee09d9,MED-07ef53bda11a7544e752df34,AMBIGUOUS_INGREDIENT_SEPARATOR,SRCM-8c61e117b943a9ebeb09da80,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-001bb489d8e203ec50f175d5,MED-db02eaad7a84e29e38021276,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-38d6d9696d61148ff3fb4dce,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-002d41e8d9aeaea47c17f7ef,MED-65eec4fc3f3041510d1081e0,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-83188235c6ecd25fde3304b1,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00498769c30b5117d66fd6a9,MED-4ea0b915a5360029b90bb898,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-45a8e04e0c4f95f70e51832b,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-005a6cdb67f5c69a59e349cc,MED-8635227b1cf1c5f84bdbae49,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-39abafb394ee7b564cf09b89,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-005b97b5ff7dab83076405fc,MED-430a3792012beeb0b7ca25bf,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-94e075f7ea99d63e3867c1fe,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0067ab15344a43fea0ed6051,MED-4dbed5299b6536e4ea6199e2,AMBIGUOUS_INGREDIENT_SEPARATOR,SRCM-48cb0e814d9fdc878b8c4cd2,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-006f498127226201ed7ccc5c,MED-5c92ad975e1d7231a5495e2a,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-c42d32c8087202b36ffc05da,Critical source evidence was preserved without automatic resolution.,QUARANTINED
