medicine_id,market_source_records,registered_source_records,match_method,tier
MED-00177e639173bc530a977801,SRCM-a17e02f59c1561f585a91954,SRCR-b2053a7a2572b0a2a088ec93,EXACT_STRUCTURED_IDENTITY,A
MED-001e9bdfbf2cfbe010bf7fd2,SRCM-3b1ad851148aeb5e0fee476c,SRCR-f684a1121fe99af6fa6f99b5,EXACT_STRUCTURED_IDENTITY,A
MED-004a98975895ee7000b4ef8c,SRCM-f0a8d07f183e2b1ebb0e7d9f,SRCR-84e96fae3e49580a3556cf93,EXACT_STRUCTURED_IDENTITY,A
MED-0050db3438f75d49855387fc,SRCM-fa70089507d2d759da54fdbf,SRCR-8af15aee545f16f8922e2032,EXACT_STRUCTURED_IDENTITY,A
MED-0055d50b79498b297ab48f04,SRCM-83325efcfe333de6fa73d75c,SRCR-c8061ff5a19382870422e274,EXACT_STRUCTURED_IDENTITY,A
MED-005919f78a41002a0af8cd54,SRCM-2a8dd31d635cc35ea2a56a0f,SRCR-6550ac6b0b6f7cb83cc50864,EXACT_STRUCTURED_IDENTITY,A
MED-006cb5124aba6b71b63f80a6,SRCM-db8dcc7f035e2e59c9103bb2,SRCR-70ed27e55856bda335445ebb,EXACT_STRUCTURED_IDENTITY,A
MED-007ea824e7106cb944d142e0,SRCM-726ea7e8a66aa90ca9efe04d,SRCR-42409a872633ce0f8d03ed06,EXACT_STRUCTURED_IDENTITY,A
MED-008d317a8b056cd2878e43bc,SRCM-0bb0310290ac28e38131a005,SRCR-c59d375c2a24146b88a2f3fb,EXACT_STRUCTURED_IDENTITY,A
MED-0096e29d9f4eda0f552a5a98,SRCM-31cd59aab969cea589175196,SRCR-eecbe31e9591c75af2896713,EXACT_STRUCTURED_IDENTITY,A
MED-00a2c8c07da56bc637fad4ff,SRCM-2adb74f4de75f468a9b2af62,SRCR-2123432de0d7133519739111,EXACT_STRUCTURED_IDENTITY,A
MED-00b38fc7ab1a98874158258b,SRCM-29c18c739eedefe588db3b57,SRCR-ab8b87a77c0b6f2f9a70c644,EXACT_STRUCTURED_IDENTITY,A
MED-00ca0db30caad2bf5c4c1a06,SRCM-15ea13d94b3f10546c7fafdf,SRCR-ded9a89c0d35f73913192d55,EXACT_STRUCTURED_IDENTITY,A
MED-00f5c6332a8117fb57009eb0,SRCM-81b7f75e25a44df96b0a647b,SRCR-62689860086d8d54cfb2889f,EXACT_STRUCTURED_IDENTITY,A
MED-01481f76b7da6910c4ea7a33,SRCM-53179430e4bdca75672e6e1e,SRCR-4ca974f5915a0e335acc0712,EXACT_STRUCTURED_IDENTITY,A
MED-0150aab4752a8fcacb406749,SRCM-b1fe3693d7a7ee370fab32ca,SRCR-dc4738613bbcce748dc5d9f7,EXACT_STRUCTURED_IDENTITY,A
MED-016157e2a6bd0afeeb2454a3,SRCM-6ec30858dae74997f17a790c,SRCR-882aeb76eeb5e1e2e6859bd5,EXACT_STRUCTURED_IDENTITY,A
MED-017cf6ed0d55656c73386aed,SRCM-6bc2a0bfd74aa9d211eeab57,SRCR-9389d65e8600cb0ba950ac85,EXACT_STRUCTURED_IDENTITY,A
MED-018a9fd288a5fe7e5e601ed7,SRCM-727095de3afdade870582d93,SRCR-4ee3317b505bf1a6797db5cc,EXACT_STRUCTURED_IDENTITY,A
MED-018d506c4a48c65f87f28895,SRCM-5c9a852ec7b45757cda54371,SRCR-995862c62b9e3d097b2fad03,EXACT_STRUCTURED_IDENTITY,A
MED-0195556470395d02c5886a82,SRCM-fd84a81255d3cc11696f2847,SRCR-67fa8edd0d4013b94da8f133,EXACT_STRUCTURED_IDENTITY,A
MED-01c96de9706754c80cbfdae2,SRCM-9b0f350f0bf0a8c135651b87,SRCR-2afafe248dd1557459c7f430,EXACT_STRUCTURED_IDENTITY,A
MED-01d3169ea18729e310687c41,SRCM-324b362de9d4581a4d6080b7,SRCR-5ed51740beec8709feac7bdc,EXACT_STRUCTURED_IDENTITY,A
MED-01ec5afb19c696e845627092,SRCM-013e1cae4691a16fe4ffbefe,SRCR-63d79c231a290084524c83d3,EXACT_STRUCTURED_IDENTITY,A
