medicine_ingredient_id,medicine_id,ingredient_id,ingredient_order,strength_value,strength_unit,denominator_value,denominator_unit,strength_original,parse_status,parse_reason
MING-000124a3717d29aa4a94ac17,MED-67696b75d21e41f898008ea4,ING-9d345ebed92828d3cd37d93b,1,10,mg,5,ml,10 mg/5 ml,PARSED,
MING-0001277288cd4d9d5be5d80a,MED-8e85d2f07b56675e185f6890,ING-c9b8d056c5c60512638b695d,1,500,mg,,,500 mg,PARSED,
MING-0001758f3552d94ed2ce4767,MED-f352cbd99bec1a10939f17a6,ING-0eb962e9fb96e6b4629cab6c,1,20,mg,,,20 mg,PARSED,
MING-0002c26d68596c8a4ba8359b,MED-cadf553b0c7a825b2dfdc3f3,ING-08387c9233da312a20c178f0,1,20,mg,,,20 mg,PARSED,
MING-00030b3b3ebe1f99ba785616,MED-92f86b21d2fdfc810ec8bf07,ING-84c8c255fadfda33edc403b3,1,120,mg,,,120 mg,PARSED,
MING-0003f933e7f42bb804edcdb0,MED-0f9c931fc360be7b18e472c3,ING-3a7abda4380a98e3f10299f2,1,330,mg,,,330 mg,PARSED,
MING-000488832030a84a4ab261f7,MED-227ec2c8dcac842415d90afc,ING-0af665a5853505036ce4d33b,2,1,mg,,,1 mg,PARSED,
MING-000586363c8f856bdd8e5f45,MED-34b8e1d3fc24e81c35ee02f0,ING-7cacd2fee52594d2c2ebbf99,1,,,,,,FAILED,UNSUPPORTED_STRENGTH_PATTERN
MING-000636c55663fd8cf6d4256f,MED-687c6c4871ddad551df6ccb9,ING-54238e9415df5dffbf4ba272,1,125,mg,,,125 mg,PARSED,
MING-0006ca8541553490219829f5,MED-b7cff623b7a2bc9bf98a916f,ING-323a9691ed578df35c3b1a52,10,11.141,mg,,,11.141 mg,PARSED,
MING-00071c9d1202f3aafd95213a,MED-58f4cbf09cf65c941ce61b9e,ING-36b9451985ae5023582b24bb,1,100,mg,,,100 mg,PARSED,
MING-000773c80b78b618869c49a3,MED-be1b4518e20a251a1926c7d3,ING-bd107be8959ffdd668ceccde,1,4,mg,,,4 mg,PARSED,
MING-00084c6f6ab5b1b603d8758d,MED-3f0abccd9bcb71f426091a77,ING-a5bd0c5b39e4def96669017c,1,325,mg,,,325 mg,PARSED,
MING-00085071ed6dcbeb87cd1943,MED-381946bccc7c14bce1079cd6,ING-1d01128785e48bcb1faab08a,1,500,mg,,,500 mg,PARSED,
MING-0008b5200a0eac19a902d766,MED-1be91c8a3a8161b07a99d236,ING-ad39b5b10883ad411eb774a3,1,75,mg,,,75 mg,PARSED,
MING-00099e4a79e6a5c4755848dd,MED-a1e10a1b3d6a2bcf649bcf3b,ING-501412629a52e590b56129c8,1,500,mg,,,500 mg,PARSED,
MING-000a8812feeb9fb80f360988,MED-c1e2f9b907c332e4eb8d2503,ING-2d48b526615320bfb6695c9a,1,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
MING-000a8dcb53dedcfdfa4b7d72,MED-2beba904ef06572c0af56b39,ING-82ccdf8be75f9276f814c666,1,0.25,%,,,0.25%,PARSED,
MING-000aadc982c41fdc0e5449f8,MED-6399c7e6d9455f4d46cf67f0,ING-f78ea752822b648940d51371,31,15,mg,,,15 mg,PARSED,
MING-000cd3b9bb557486ace3b90d,MED-eeed1ed734a9c115440b8ac3,ING-6efdd6d26159d06a4d679944,1,100,mg,,,100 mg,PARSED,
MING-000e30d927101cae89a31200,MED-9f99d10152fd9b17ccc5bf53,ING-c63a89e835643dc16c3fc0aa,1,5,mg,,ml,5 mg/ml,PARSED,
MING-0010011923504e7a399bc70d,MED-82eea35009ee1f9a5c6525b4,ING-af675743181e950300bd4613,1,10,mg,,,10 mg,PARSED,
MING-001114ff5a68e6737f970d0a,MED-c1804faf4fcee4eaf23c6768,ING-bc2d2f7e0f54026541a7fd3b,9,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
MING-00121d719dfb2f1115111e88,MED-c81655bddd9184473c867652,ING-bbb0ec1b48225169e1925a7d,7,6,ug,,,6 ug,PARSED,
MING-0013afc2b445d52fe02cd872,MED-d764e4576bf7d2fe3db4b9c0,ING-e91629ef683d8ddc508b0156,1,500,mg,,,500 mg,PARSED,
MING-00141b60ea571e6a89f7bf3d,MED-12cc2d8a26c30f27d1ee2cbb,ING-e8e0069723c97c10b546a891,1,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
MING-00143fb49c868d8ef002e8a2,MED-381acec1631618d1e14e948b,ING-bbb0ec1b48225169e1925a7d,6,110,mg,,,110 mg,PARSED,
MING-0018332c076180eaa33be01e,MED-5a04f9ae585f2ce3e766d5b7,ING-8ba8cd050f99f016be6dc24c,1,40,mg,,,40 mg,PARSED,
MING-001840cd7339664fea1a51be,MED-d8284e90f58228fd1e92b3ad,ING-232b69439e87f183fee83bae,2,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
MING-00184e2b11ab50576c06d958,MED-c4080bb2117a941801f6aaf3,ING-0236f85aa270828a0c6fd807,2,200,iu,,,200 iu,PARSED,
MING-0018a81777611724201b5c1d,MED-5a27a724b8fade46c58828db,ING-957a9afd92adfbcb91f194b5,1,5,mg,,,5 mg,PARSED,
MING-001988193a7918e7f2aed1e0,MED-221f4ac2f68ceb5eae66bfed,ING-8c1ec4fa9e80839bcd63d633,1,50,mg,,,50 mg,PARSED,
MING-001a719588feee0f03749461,MED-fea0c743431baaf8a19d6dd5,ING-433f9145820fbc40bb80aee3,1,500,mg,,,500 mg,PARSED,
MING-001bb08c20fa3f89cd79bcf4,MED-40e294fe391b2cff679cfb34,ING-e93958494327329c1d54220a,1,30,%,,,30%,PARSED,
MING-001bfbc6b4308c9804fa865f,MED-6ac8cea89612fecfee511399,ING-a498b279b5e98dd9842cbbf6,1,4,mg,,,4 mg,PARSED,
MING-001c316e1dbc3c7c7c767dfd,MED-e8566b8408799ffccf30b50c,ING-5f85325354e47ae0c004eaea,1,5,%,,,5 %,PARSED,
MING-001dad61327463f0ce066441,MED-7500d744e409c6017ef3760d,ING-825609d1d18bbcfe293658a2,1,20,mg,,g,20 mg/g,PARSED,
MING-001ee0350c298e99b5bdf228,MED-85477fa3153b2c64267e2326,ING-9accae4d43a45cb3a3bab72d,1,,,,,,FAILED,UNSUPPORTED_STRENGTH_PATTERN
MING-001ef696b8031ea46507a61a,MED-401ec61104d8d953c6c887d9,ING-b509ada517b821151f15ca6d,1,15,mg,,,15 mg,PARSED,
MING-0021330d91249118e13e7f0d,MED-10c5335e15bd1c5386a27273,ING-ad55af0ca1664ee9be24e383,1,1.5,mg,,,1.5 mg,PARSED,
MING-00228fbc078151404426b229,MED-8a719db1b60406f9088832ef,ING-dc618402991f1b2099313066,3,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
MING-0023073a165fbac6339a0905,MED-f24c834ed22c25dc71c83b70,ING-3ad73b74e2dd7fa840003f66,1,100,mg,,,100 mg,PARSED,
MING-0023186dd8c7c54925681fe3,MED-3f62a96e65ab3069195a1d80,ING-9c488e6210c823fdb5992ba4,1,15,mg,5,ml,15 mg/5 ml,PARSED,
MING-0023fabf325b0bbc05d11a8d,MED-3b1076533569c88cfb87385f,ING-6d28af2f3ff992f2547d05f5,2,1,g,,,1 g,PARSED,
MING-00254f6311c55dd2298bf84c,MED-8835f07d075ec78599431c98,ING-798c6fe77221b47541b05c1a,1,20,mg,,,20 mg,PARSED,
MING-0026ad48bf25d7c546738d5a,MED-4ab62846569473aa21e7166b,ING-1933ca8ee2cd9e739577927d,1,2.5,mg,5,ml,2.5 mg/5 ml,PARSED,
MING-0026bc0a05862228dbefddf7,MED-1309f4d88f23977509805667,ING-76ac041cc910a9f182623998,1,1,mg,,,1 mg,PARSED,
MING-0026dd62e2609228a51ae5f5,MED-b567653d14209e4992fb0923,ING-08e69894c0b3a98cfb51ecfe,1,50,mg,100,g,50 mg/100 g,PARSED,
MING-00277ef0f483b7e7362870ec,MED-a63a56e412943fa6dc488e6c,ING-e3ee21e04f257df8cab7e42f,2,,,,,,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
