source_record_id,brand id,brand name,type,slug,dosage form,generic,strength,manufacturer,package container,Package Size
SRCM-2f0c38db4b2d47c9540581c3,4077,A-Cold,allopathic,a-coldsyrup4-mg5-ml,Syrup,Bromhexine Hydrochloride,4 mg/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 40.12,
SRCM-d7e980a4b1591374ca7655ba,4006,A-Cof,allopathic,a-cofsyrup10-mg30-mg125-mg5-ml,Syrup,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 100.00,
SRCM-4bace686f1c944f0c88a7913,6174,A-Clox,allopathic,a-cloxinjection500-mgvial,Injection,Cloxacillin Sodium,500 mg/vial,ACME Laboratories Ltd.,"500 mg vial: ৳ 28.43,(5's pack: ৳ 142.15),",(5's pack: ৳ 142.15)
SRCM-d6af45043002813dd43a9126,6173,A-Clox,allopathic,a-cloxinjection250-mgvial,Injection,Cloxacillin Sodium,250 mg/vial,ACME Laboratories Ltd.,"250 mg vial: ৳ 20.00,(5's pack: ৳ 100.00),",(5's pack: ৳ 100.00)
SRCM-b3916d33a3c3c7c888cc31de,6172,A-Clox,allopathic,a-cloxpowder-for-suspension125-mg5-ml,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,ACME Laboratories Ltd.,100 ml bottle: ৳ 45.00,
SRCM-4e8a4a1cd01c335b644883e3,6171,A-Clox,allopathic,a-cloxcapsule500-mg,Capsule,Cloxacillin Sodium,500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 5.98,(100's pack: ৳ 598.00),",(100's pack: ৳ 598.00)
SRCM-0b2b71853d9aed350bdde31b,14006,A-Care,allopathic,a-caretablet6-mg200-mg50-mg,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.,"Unit Price: ৳ 2.50,(20's pack: ৳ 50.00),",(20's pack: ৳ 50.00)
SRCM-a545cb89035c841623a3267d,3039,A-Card,allopathic,a-cardtablet20-mg,Tablet,Isosorbide Mononitrate,20 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 1.43,(100's pack: ৳ 143.00),",(100's pack: ৳ 143.00)
SRCM-2f76b863e90bd449b17a4c9b,15483,A-Calm,allopathic,a-calmtablet50-mg,Tablet,Tolperisone Hydrochloride,50 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 6.00,(50's pack: ৳ 300.00),",(50's pack: ৳ 300.00)
SRCM-69ea7228af4305114601e380,14480,A-Cal DX,allopathic,a-cal-dxtablet500-mg400-iu,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,ACME Laboratories Ltd.,"Unit Price: ৳ 7.50,(30's pack: ৳ 225.00),",(30's pack: ৳ 225.00)
SRCM-1d6e2ee2b9c59a59f8550551,14399,A-Cal D,allopathic,a-cal-dtablet500-mg200-iu,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,ACME Laboratories Ltd.,"Unit Price: ৳ 6.50,(15's pack: ৳ 97.50),,Unit Price: ৳ 6.50,(30's pack: ৳ 195.00),","(15's pack: ৳ 97.50),(30's pack: ৳ 195.00)"
SRCM-ff0d903772589d97d62e168a,14264,A-Cal,allopathic,a-caltablet500-mg,Tablet,Calcium Carbonate,500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 5.00,(100's pack: ৳ 500.00),",(100's pack: ৳ 500.00)
SRCM-57a22b06b7efe89bcfb8a95a,13582,A-B1,allopathic,a-b1tablet100-mg,Tablet,Thiamine Hydrochloride,100 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 0.86,(100's pack: ৳ 86.00),",(100's pack: ৳ 86.00)
SRCM-d5cfc4886591e040780d4a2b,25154,5X,allopathic,5xtablet30-mg,Tablet,Ulipristal Acetate [For emergency contraception],30 mg,Renata Limited,Unit Price: ৳ 200.00,
SRCM-4a467614b5618a4082b1a8af,105,5-Fluril,allopathic,5-fluriliv-injection-or-infusion25-mgml,IV Injection or Infusion,Fluorouracil,25 mg/ml,Techno Drugs Ltd.,"250 mg vial: ৳ 55.00,500 mg vial: ৳ 95.00",
SRCM-7bc6cfdb4808cf0134594821,27661,Arubin,herbal,arubincapsule500-mg,Capsule,Nabayas Louha Herbal Haematinic,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 4.00,(30's pack: ৳ 120.00),",(30's pack: ৳ 120.00)
SRCM-ade717db322884a87016e8b6,29715,Arkid,herbal,arkidsyrup,Syrup,Aravindasav,,ACME Laboratories Ltd.,100 ml bottle: ৳ 70.00,
SRCM-11595f2b015aa65e3858d5b9,29714,Arjunacard,herbal,arjunacardsyrup,Syrup,Arjunarista,,ACME Laboratories Ltd.,200 ml bottle: ৳ 90.00,
SRCM-43adf6e4f9239022d518006d,30450,Apelin,herbal,apelinsyrup,Syrup,Malus sylvestris,,Hamdard Bangladesh,"100 ml bottle: ৳ 60.00,450 ml bottle: ৳ 200.00",
SRCM-1b03cd15dc71c105ac5ec29b,29646,Antiligo,herbal,antiligocapsule,Capsule,Barsina,,Hamdard Bangladesh,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
SRCM-bceabbe783b545edb5e19296,31923,Anseng,herbal,ansengcapsule500-mg,Capsule,Panax Ginseng,500 mg,Aristopharma Ltd.,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
SRCM-75af64684e1dee12b4644b34,29754,Anjort,herbal,anjortcapsule300-mg,Capsule,St. John’s Wort,300 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 4.33,(30's pack: ৳ 130.00),",(30's pack: ৳ 130.00)
SRCM-184265893fb2e802ef8bf523,29712,Amlacid,herbal,amlacidsyrup,Syrup,Amalaki Rasayana,,ACME Laboratories Ltd.,"200 ml bottle: ৳ 80.00,450 ml bottle: ৳ 150.00",
SRCM-ec1355a6d93201cbcbd9c965,30288,Amlabery,herbal,amlaberysyrup,Syrup,Sharbat Amla,,Drug International Ltd.,450 ml bottle: ৳ 350.00,
SRCM-aa47211778c44250b3d7956b,29661,Amla (Hair oil),herbal,amla-hair-oilscalp-solution166-ml33-ml5-ml,Scalp Solution,Emblic Myrobalan + Sesame,(1.66 ml+3.3 ml)/5 ml,Hamdard Bangladesh,130 ml bottle: ৳ 200.00,
SRCM-6a717be76e42f6070a92c222,27660,AmCivit,herbal,amcivitsyrup303-ml012-gm5-ml,Syrup,Emblica officinalis + Piper longum,(3.03 ml+0.12 gm)/5 ml,Square Pharmaceuticals Ltd.,100 ml bottle: ৳ 60.00,
SRCM-69b97bd1a17d61261713475d,29645,Alvasin,herbal,alvasinsyrup,Syrup,Ejaz,,Hamdard Bangladesh,"100 ml bottle: ৳ 70.00,225 ml bottle: ৳ 140.00",
SRCM-640ca37159c0e64d17c2203a,28006,Altiver,herbal,altivercapsule60-mg,Capsule,Ginkgo Biloba,60 mg,Kemiko Pharmaceuticals Ltd.,"Unit Price: ৳ 22.00,(20's pack: ৳ 440.00),",(20's pack: ৳ 440.00)
