source_record_id,source_name,source_row_number,price_original,reason_code
SRCM-13d8470c021c0b9a9da1523b,MARKET,134,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-6e2e148c27fd0a805b4290eb,MARKET,207,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-6e6f3af367e07a3779d066b6,MARKET,210,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-c99e3f43e43db07059fcf09e,MARKET,238,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-0eede7e96eb327acb409806f,MARKET,269,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-79c893fa2f24eabb14449e60,MARKET,307,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-3d80ceddc5a0759ebc0417b7,MARKET,351,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-2175c13bcf058168ae1d7a41,MARKET,409,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-35a6ddcf1bcbe74663d08e54,MARKET,1333,,MISSING_OR_UNRESOLVED_PRICE
SRCM-d96065dd997f5e4b1b9bcf60,MARKET,2200,,MISSING_OR_UNRESOLVED_PRICE
SRCM-e6a1ff5b13e76504f5e8a49d,MARKET,2201,,MISSING_OR_UNRESOLVED_PRICE
SRCM-2e30d836fe6d8b0d14761bea,MARKET,2293,,MISSING_OR_UNRESOLVED_PRICE
SRCM-fb6ab534326f467f72307310,MARKET,2302,,MISSING_OR_UNRESOLVED_PRICE
SRCM-71daf3e27eaffad7d393e8bf,MARKET,2573,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-3a720130fac66246c558481f,MARKET,3031,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-ab377a3b0c967ad15b19bc80,MARKET,4017,"Not for sale,Not for sale",MISSING_OR_UNRESOLVED_PRICE
SRCM-ad433ebfb7790eeda09b83c9,MARKET,4697,,MISSING_OR_UNRESOLVED_PRICE
SRCM-c005cb55e5ad6079f1b4c5fb,MARKET,4899,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-72291393cda89286463f00ca,MARKET,4927,,MISSING_OR_UNRESOLVED_PRICE
SRCM-469a9d008b91a0d48d431dee,MARKET,5667,Not for sale,MISSING_OR_UNRESOLVED_PRICE
SRCM-3ef468003ab85fac86557b3b,MARKET,5682,Not for sale,MISSING_OR_UNRESOLVED_PRICE
SRCM-31f8213d432b808c56ec8c1b,MARKET,5683,Not for sale,MISSING_OR_UNRESOLVED_PRICE
SRCM-525a7472633cf9f1e3a0b2c8,MARKET,5684,Not for sale,MISSING_OR_UNRESOLVED_PRICE
SRCM-b224bcff496ca117fe23255b,MARKET,5685,Not for sale,MISSING_OR_UNRESOLVED_PRICE
SRCM-ee79531fadcf03ac22e29f0d,MARKET,5899,,MISSING_OR_UNRESOLVED_PRICE
