source_record_id,source_name,source_row_number,generic_original,strength_original,parse_status,parse_reason
SRCM-ade717db322884a87016e8b6,MARKET,18,Aravindasav,,FAILED,MISSING_STRENGTH
SRCM-11595f2b015aa65e3858d5b9,MARKET,19,Arjunarista,,FAILED,MISSING_STRENGTH
SRCM-43adf6e4f9239022d518006d,MARKET,20,Malus sylvestris,,FAILED,MISSING_STRENGTH
SRCM-1b03cd15dc71c105ac5ec29b,MARKET,21,Barsina,,FAILED,MISSING_STRENGTH
SRCM-184265893fb2e802ef8bf523,MARKET,24,Amalaki Rasayana,,FAILED,MISSING_STRENGTH
SRCM-ec1355a6d93201cbcbd9c965,MARKET,25,Sharbat Amla,,FAILED,MISSING_STRENGTH
SRCM-69b97bd1a17d61261713475d,MARKET,28,Ejaz,,FAILED,MISSING_STRENGTH
SRCM-a179aadc58bbc95afc8d5523,MARKET,30,Aloe indica+ Hyoscyamus niger + Piper nigrum,345 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-f8b868af9bb463b4e6bb44ca,MARKET,31,Buzuri,,FAILED,MISSING_STRENGTH
SRCM-db8e1f5c7ea9215fe3002b7a,MARKET,32,Garlitab,,FAILED,MISSING_STRENGTH
SRCM-8e9e4d552c7d0954b335ed1d,MARKET,35,Tabkheer,,FAILED,MISSING_STRENGTH
SRCM-11d79c237bfb2736d50725ee,MARKET,36,Herbal cough syrup [Tulsi],,FAILED,MISSING_STRENGTH
SRCM-fba57caab313613244d872d0,MARKET,37,Ambar Momiyaee,,FAILED,MISSING_STRENGTH
SRCM-773db5ed0e42077e3454dc1c,MARKET,38,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-0e23bad52c2c7b24d378db6a,MARKET,39,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-0a907703bdf550cfa6710749,MARKET,42,"Mustakarista [Cyperus, Zingiber, Piper nigrum]",,FAILED,MISSING_STRENGTH
SRCM-920f6d0bc64fd832fd26bdfc,MARKET,44,Emblic Myrobalan + Aswagandha + Grape,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-57adee8e6736103aa8566ca7,MARKET,45,Herbal cough syrup [Vasakarista],,FAILED,MISSING_STRENGTH
SRCM-a65c368b290446af5dca6397,MARKET,47,Herbal gastric preparation,,FAILED,MISSING_STRENGTH
SRCM-f95ddb7af9d9feca595b05d4,MARKET,48,Herbal gastric preparation,,FAILED,MISSING_STRENGTH
SRCM-fb7a4eabfcd4fb1cae75a63b,MARKET,51,Marwareedi,,FAILED,MISSING_STRENGTH
SRCM-c26666f4e568874e869517cb,MARKET,53,Brahmi Rasayan,,FAILED,MISSING_STRENGTH
SRCM-62747579fcae0271e9ea26e2,MARKET,63,Collagen II & GAGs,1 gm,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-546be716858454e0e1c64586,MARKET,69,Herbal cough syrup [Vasakarista],,FAILED,MISSING_STRENGTH
SRCM-14d7785c6ca2a3ae61ca18dc,MARKET,70,Herbal cough syrup [Vasakarista],,FAILED,MISSING_STRENGTH
SRCM-9f2c928d6bb8abd4592a4895,MARKET,71,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-9841b233ee7ef9f3f800daac,MARKET,72,Balarista,,FAILED,MISSING_STRENGTH
SRCM-ca7c037b589d5f40960f0c3e,MARKET,73,Compound Asparagus,,FAILED,MISSING_STRENGTH
SRCM-372f516aa7ef3b8404c8ef7c,MARKET,74,Mahadrakkharist [Grape extract],,FAILED,MISSING_STRENGTH
SRCM-b15b631c855eb160e69b3a5a,MARKET,78,Pechish,,FAILED,MISSING_STRENGTH
SRCM-863992d627134cc534807cfc,MARKET,79,Habb-e-Nishat,,FAILED,MISSING_STRENGTH
SRCM-0b34db07e6b1c0d595860c20,MARKET,80,Aushokarist [Saraca Indica],,FAILED,MISSING_STRENGTH
SRCM-69ecd3c2f1424a3a264c9418,MARKET,81,Natural medicine for diabetes,,FAILED,MISSING_STRENGTH
SRCM-24880d3534756ce3caa5f45b,MARKET,84,Jamani Arka,,FAILED,MISSING_STRENGTH
SRCM-4b86d443bb98556fe0a9250e,MARKET,86,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-a0b60c2ad974199fe47cd59f,MARKET,87,Marham Kharish,,FAILED,MISSING_STRENGTH
SRCM-353805db026fb7165ba4df05,MARKET,89,Sanoon Babla,,FAILED,MISSING_STRENGTH
SRCM-77f103f47c0517f3822060b1,MARKET,90,Emblic Myrobalan + Aswagandha + Grape,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-dc9570e9bb6f300ac3048f19,MARKET,100,Mentha + Cinnamomum + Gaultheria + Capsicum,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-aed6c4adf347fa761e22b24d,MARKET,102,Herbal Multivitamin,,FAILED,MISSING_STRENGTH
SRCM-dc4cf5f0f8ad22c944ef8be8,MARKET,103,Sharbat Musaffi,,FAILED,MISSING_STRENGTH
SRCM-e1ba5037cee0b486b1cf86b1,MARKET,111,Lavendar [Lavendula stoechas],,FAILED,MISSING_STRENGTH
SRCM-4d8ef1e6509c3f9e94545bca,MARKET,115,Balarista,,FAILED,MISSING_STRENGTH
SRCM-a85195d629ed47285db1be00,MARKET,116,Mumshik,,FAILED,MISSING_STRENGTH
SRCM-080dc5004cf6968c39c651d5,MARKET,117,Antacid [Unani],,FAILED,MISSING_STRENGTH
SRCM-fd41ee57013c0a9c26017f6b,MARKET,133,Vaskar Laban [Piper + Zingiber + Cinnamomum],500 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-d8136cfaa2164ba1ef774d74,MARKET,156,Ambar Momiyaee,,FAILED,MISSING_STRENGTH
SRCM-d6a91ca1d46971aec08fa040,MARKET,160,Khakshi,,FAILED,MISSING_STRENGTH
SRCM-4c312a260496f961da72f564,MARKET,169,Espand,,FAILED,MISSING_STRENGTH
SRCM-5be9ad02325d532924843cd6,MARKET,174,Dinar,,FAILED,MISSING_STRENGTH
SRCM-78e91ffbbd3610ec353f70cc,MARKET,175,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-55e26550599ce2d8d01ec902,MARKET,177,Rehmin,,FAILED,MISSING_STRENGTH
SRCM-587bcf693c2eab2940d7a960,MARKET,178,Rohitakarista,,FAILED,MISSING_STRENGTH
SRCM-7cacd5eea15592662c2e3d13,MARKET,184,Kabid Nawshadri,,FAILED,MISSING_STRENGTH
SRCM-ea6bb62f2a130cb150e6ed58,MARKET,185,Abhayarista,,FAILED,MISSING_STRENGTH
SRCM-f1aa6822797ba90ef9beb3e3,MARKET,193,Salep + Coconut + Poppy Seeds +  Almond,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-e305c5237ec1c89fa157cfd2,MARKET,204,Saffron + Mace arillus + Nutmeg fruit,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-e4446837e2ecdc57863f11cf,MARKET,205,Patrangasav,,FAILED,MISSING_STRENGTH
SRCM-d13a3b7ebf6a731ecc828234,MARKET,206,Patrangasav,,FAILED,MISSING_STRENGTH
SRCM-22aa8860d339f909166a103a,MARKET,209,23 herb formula to increase breast milk,100 gm/container,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCM-13189ec905b1967fd214b82d,MARKET,211,Camphor + Thymol + Menthol + Eucalyptus oil,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-4253573743288d5125c2c9a4,MARKET,212,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-1b0ed0da48a2bf5c398b7c19,MARKET,215,Jirakaddarista,,FAILED,MISSING_STRENGTH
SRCM-2477558315134189a6b79634,MARKET,219,Jinsin,,FAILED,MISSING_STRENGTH
SRCM-86b19f5505e634fcec8a7524,MARKET,222,Aswagandharista,,FAILED,MISSING_STRENGTH
SRCM-742d10b4ff43601f00627710,MARKET,223,"Jadwar [Denudatum, Saffron, Henbane]",,FAILED,MISSING_STRENGTH
SRCM-24a8ff311bade8cbe1acfc28,MARKET,225,Aniseed + Indian dill + Black cardamom + Peppermint,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-49cf1dfc5783a7c4e247c60e,MARKET,230,Bacopa extract [Natural memory enhancer],,FAILED,MISSING_STRENGTH
SRCM-3f960c659465e87990e7019a,MARKET,236,Ashokarista,,FAILED,MISSING_STRENGTH
SRCM-a9f896d5442bd76405b8f815,MARKET,245,Devil’s Cotton + Ashoka bark + Aswagandha,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-c4a2a87b56ff44d102a8a1e6,MARKET,248,Almond + Coconut + Edible Pine + Salep,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-dd1ad6c87efbe8357ee03f71,MARKET,253,Jeerakaddarishta Carminative,,FAILED,MISSING_STRENGTH
SRCM-9dc799e7b9088c449f2a8e52,MARKET,254,"Tila Jadeed [Madar, Mace arillus, Nutmeg nut]",,FAILED,MISSING_STRENGTH
SRCM-849c6abe1e0952be43d9ff22,MARKET,255,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-f5f528ec2eaf645cb62b20c8,MARKET,274,"Fishar [Snake root, Potassium, Magnesium]",,FAILED,MISSING_STRENGTH
SRCM-9d747247e9ccab53f91c716b,MARKET,275,Saffron + Sand Lizard + Nutmeg fruit,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-a3283c2d8951cb3bde84e091,MARKET,278,Mahadrakkharist [Grape extract],,FAILED,MISSING_STRENGTH
SRCM-c98d444455d9c7bed4e1f366,MARKET,279,Prasarani Sandhan,,FAILED,MISSING_STRENGTH
SRCM-abe9baf9c0387ccd92972cf1,MARKET,282,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-aa2290a9f568ae434b85fd41,MARKET,289,Licorice + Yellow Silk Cotton + Mastic tree,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-f362b884e0474959fa17eff3,MARKET,296,"Mudir [Aloe, Saffron, Ferrus sulphate]",294.12 mg+58.82 mg+147.06 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-c0387b4b0894cc86b8d2d6de,MARKET,308,Ambergris + Salep + Galangal,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-dd272d8e07519b3fec27a15e,MARKET,311,"Qurs Mulayin [Scammony, Lavender, Fennel]",,FAILED,MISSING_STRENGTH
SRCM-afffaa855083b88430888730,MARKET,316,"Suzark [Chir Pine, Chickpea, Pearl]",,FAILED,MISSING_STRENGTH
SRCM-109dc3e504d3c58017469372,MARKET,317,Suranjan,,FAILED,MISSING_STRENGTH
SRCM-2fb9812bef12767dbd531ed9,MARKET,318,Date palm + Betel nut + Acacia,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-085e42b99f7c551badd4a9b0,MARKET,319,Licorice + Vasaka + Basil + Peppermint,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-18bffedd339a190a197cc932,MARKET,327,"Salajeet [Mineral Pitch, Red Sage]",71.43 mg+71.43 mg,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-895eac1c3cde729dfa22341e,MARKET,328,Sanjivani Rasayan,,FAILED,MISSING_STRENGTH
SRCM-9fcc4595b5f5f5f144f7920c,MARKET,329,Saribadyarista,,FAILED,MISSING_STRENGTH
SRCM-03369d1b2fec1af68b5ca6f3,MARKET,330,Sana + Revand Chini + Neem + Chirata + Tulsi,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-7b3b315ca9b5ce2f0a1c9d7e,MARKET,331,Sana + Revand Chini + Neem + Chirata + Tulsi,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-460693471905d82ec9fe5a3f,MARKET,332,Herbal cough syrup [Tulsi],,FAILED,MISSING_STRENGTH
SRCM-875bb05eb19aaf582924fb04,MARKET,336,Steviol Glycoside,,FAILED,MISSING_STRENGTH
SRCM-39b5e1e1acde46cd63ce7fba,MARKET,337,Herbal cough syrup [Adhatoda Vasica],,FAILED,MISSING_STRENGTH
SRCM-8792d508ae26c79cfcb46cca,MARKET,340,Dasamularista,,FAILED,MISSING_STRENGTH
SRCM-ad66ca83a69670358298d738,MARKET,350,"Fennel [Mouri, Gohkshura, Kasni]",,FAILED,MISSING_STRENGTH
SRCM-49e7cd9913e9b8c6ece7333a,MARKET,367,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-fcfe706850960085eec6e350,MARKET,368,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-4e0b61fa042ef9860ed5a7c5,MARKET,405,,30 mg,FAILED,MISSING_INGREDIENT
SRCM-d8d669b72c0f0df6a87fccf8,MARKET,428,Inactivated Influenza Vaccine,0.5 ml/prefilled syringe,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCM-e2bf2063231af3ff61fe8ccc,MARKET,438,Super antioxidant [vitamins & minerals],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-5c039453b67f24b680074567,MARKET,546,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-0220c680f72256704c51fcd7,MARKET,548,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-f2eeef64b25de04c915a8579,MARKET,576,Eucalyptol + Menthol + Methyl Salicylate + Thymol + Sodium Fluoride,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-3f4a11b404b8c59d8debc798,MARKET,590,Enoxaparin Sodium,8000 Anti-Xa IU/0.8 ml,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCM-430a7ec0a91d418bbe5a7f32,MARKET,591,Enoxaparin Sodium,6000 Anti-Xa IU/0.6 ml,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCM-2c456f9ec529c6edfcf422fd,MARKET,592,Enoxaparin Sodium,4000 Anti-Xa IU/0.4 ml,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCM-da356df5e0e4d9c1c78f0492,MARKET,642,Iron + Folic acid + Vitamin B complex + Vitamin C,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-223d5ad232605559d757e176,MARKET,645,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-9d357faac9116415d864e3e7,MARKET,688,Multivitamin & Multimineral [A-Z gold preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-3d1cf559859d8b807d6f1d1f,MARKET,702,Multivitamin & Multimineral,,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-bde7ed0a4ecfbf4a1be791e2,MARKET,703,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-684a4920275e9238a7c8d759,MARKET,704,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-4972e011e7bc42aa8a590180,MARKET,705,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-dd97c26e7df944b84d991e60,MARKET,706,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-4b7e9dc2e16c01414c93807e,MARKET,719,Multivitamin & Multimineral [A-Z gold preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-37d5562e8a1afa6d4e7b2cb0,MARKET,720,Vitamin B Complex + Zinc,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-fded1f1a91f01750ecec65ab,MARKET,732,Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-5cc1553477b50aa61aa1a268,MARKET,733,Iron Polymaltose Complex + Folic Acid + Zinc + Vitamin B-Complex,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-e67ef02beb6c83c68e364c6f,MARKET,734,Iron + Folic acid + Vitamin B complex + Vitamin C,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-78da46fdc46bf2bb6d23e1ce,MARKET,746,Multivitamin & Multimineral [A-Z silver preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-fa20abc5ca445c048e26acc6,MARKET,747,Multivitamin & Multimineral [A-Z gold preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-d9612f5ccab9898d69e555c1,MARKET,795,Super antioxidant [vitamins & minerals],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-fe949d6ce4ab6a0a90ba9d98,MARKET,902,Amino Acid + D-Sorbitol + Electrolytes,10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-404605b5b595f581277bb0f3,MARKET,904,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-c4efd20e57f3d0318630bef8,MARKET,905,Amino Acid + Glucose + Electrolytes,7%+10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-1ac8a608bf73776ee7338499,MARKET,906,Amino Acid + Glucose + Electrolytes,7%+10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-5e42adb969f60304e7fb9f14,MARKET,907,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-ffe8dc6779568657a75de562,MARKET,911,Amino Acid + D-Sorbitol + Electrolytes,10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-3e460b9c32d40cf937c17733,MARKET,912,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-e51fd24b5c6b41bbc961f11a,MARKET,913,Amino Acid + Glucose + Electrolytes,7%+10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-004069e1085daae3f654d81f,MARKET,914,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-bd9d1f7f8dfbd59415c48d51,MARKET,921,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-65c2f71138a80a35ea32a58e,MARKET,951,Amino Acid + Glucose + Electrolytes,7%+10%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-dcd8094decc6e4e0fb323f7f,MARKET,952,Amino Acid + D-Sorbitol + Electrolytes,5%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-b9f74f2a3eba1f4e914eeb55,MARKET,1170,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-23f6276918a0ae7fede1716d,MARKET,1175,Hydrocortisone Acetate + Benzyl Benzoate + Bismuth Subgallate + Bismuth Oxide + Balsam Peru + Zinc Oxide,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-0f45410cabf798945cdc5fd7,MARKET,1177,Cinchocaine + Hydrocortisone + Neomycin + Esculin,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-3aa176ba8884882cf824f8ca,MARKET,1212,Insulin Human [rDNA] + Isophane Insulin Human,50%+50% in 100 IU/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCM-b9f925277958a8fc3eda150d,MARKET,1213,Insulin Human [rDNA] + Isophane Insulin Human,30%+70% in 100 IU/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCM-f113fe2b7eac3d9d8a899b8e,MARKET,1214,Insulin Human [rDNA] + Isophane Insulin Human,50%+50% in 100 IU/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCM-ad9b7ab77328752ea382a2cd,MARKET,1215,Insulin Human [rDNA] + Isophane Insulin Human,30%+70% in 40 IU/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCM-8390cb9597b24d2e337da738,MARKET,1216,Insulin Human [rDNA] + Isophane Insulin Human,30%+70% in 100 IU/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCM-932dc62f8642de4118c53ae3,MARKET,1282,Cinchocaine + Hydrocortisone + Neomycin + Esculin,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-670f9b728cfe7e8d0ba7b265,MARKET,1292,Snake Venom Antiserum,,FAILED,MISSING_STRENGTH
SRCM-d03cca4d4193ac6983b80a22,MARKET,1299,Vitamin B Complex + Zinc,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-d5b63db25dbe75760e7c8ca3,MARKET,1300,Multivitamin [Pediatric preparation],,FAILED,MISSING_STRENGTH
SRCM-b3238df52674f64079a14e2a,MARKET,1301,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-f6a6ee313816cdae4696a9bc,MARKET,1302,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-9ed5cf54b7b795b046534eb5,MARKET,1330,Calcium Carbonate + Vitamin D3 + Multimineral,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-a6dbcc2fc1ce15ad0f2c47da,MARKET,1336,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-a4e6893a9791779b45c76440,MARKET,1409,Multivitamin & Cod Liver Oil,,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-183d07c5e3ddd70d7ff97206,MARKET,1422,Cinchocaine + Hydrocortisone + Neomycin + Esculin,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-7af5498d9215af512bc50116,MARKET,1423,Cinchocaine + Hydrocortisone + Neomycin + Esculin,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-56d46b65a811016d82fbfe28,MARKET,1464,Calcium Carbonate + Vitamin D3 + Multimineral,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-025e3b58607bd9600a59f2a6,MARKET,1472,Multivitamin & Multimineral [A-Z silver preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-f407c645b046768195783da7,MARKET,1473,Multivitamin & Multimineral [For nursing mother],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-c04a65af6954d2f4f9a0f50c,MARKET,1474,Multivitamin & Multimineral [A-Z juniors syrup preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-061ad985a95edc162bde752f,MARKET,1475,Multivitamin & Multimineral [A-Z gold preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-4db7d4b825b9e365fc6738a5,MARKET,1481,Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-bc7bf9231d16ed06ab5d25cc,MARKET,1503,Iron Polymaltose Complex + Vitamin B Complex + Zinc,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-e1f07b68fef435f374686e68,MARKET,1504,Vitamin B Complex + Zinc,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-2b93a29cf3d89f6a0ff74ace,MARKET,1505,Vitamin B Complex + Zinc,,AMBIGUOUS,AMBIGUOUS_COMBINATION_STRENGTH
SRCM-d0259d4c16987d23a98e7508,MARKET,1506,Multivitamin [Injection],,FAILED,MISSING_STRENGTH
SRCM-362eb0e351847afe5e59315a,MARKET,1507,Super antioxidant [vitamins & minerals],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-e74b4fe56927ee592321c522,MARKET,1508,Multivitamin & Multimineral,,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
SRCM-f7da3957fe72814b2b2a203d,MARKET,1509,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-e2bbaaf7c25bbe86e91c6c8a,MARKET,1510,Vitamin B complex,,FAILED,MISSING_STRENGTH
SRCM-9f39df1a6dee4a73f33600cb,MARKET,1557,Multivitamin [Injection],,FAILED,MISSING_STRENGTH
SRCM-0c4a15fea095d488950b35fc,MARKET,1585,Glycerin + Hypromellose + Polyethylene glycol + Tetrahydrozoline + Zinc Sulfate,0.25%,AMBIGUOUS,INGREDIENT_STRENGTH_COUNT_MISMATCH
SRCM-17c422986a6bca3da4aaa971,MARKET,1605,Multivitamin & Multimineral [A-Z silver preparation],,AMBIGUOUS,AMBIGUOUS_INGREDIENT_SEPARATOR
