possible_duplicate_id,left_medicine_id,right_medicine_id,matching_fields,conflicting_fields,similarity_evidence,reason_code,review_priority,final_status
DUP-000590371c4600f027be447a,MED-2cbde1495f1902cdb3c2f993,MED-a686570f47d1d2d7c0cd21a9,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-00f2380594f092252b713ec0,MED-2f36da049052b5271f53b0ef,MED-976e622fa449cdf64a80edd1,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-0428cb090a5840da7deada9a,MED-0a5a74fc58fd31be0850b9d4,MED-d54dfe742641464997e974d3,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-07fe6b9532f54e042ec78489,MED-84ed07c6c0e767702043be37,MED-d7a3494329ff30efb6e9e967,manufacturer;ingredients;strength;dosage_form,brand,0.9000,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-18b8f38028c86c1ed87f39f4,MED-dd08db4b3f467d84e4e33b93,MED-dd2396f2743d5e472e363389,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-19e72d33aaba970084b82262,MED-38eb84827d9a1aa9365ca8e7,MED-e86b965d456c2dcd2e4e289a,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-21e53fd431a4342143d99887,MED-bb80eca31d4dd949cd31ce49,MED-d5bb6b45a6bad49584d146c6,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-24a471abda8202caf57b6f91,MED-38f6ba615f39e5210ce93dba,MED-a69168e7e6e77235ec87cedf,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-25fc59fa3e7e6c237e3290a1,MED-3118f5c685d6b5661f823c74,MED-702369d5b7c0cdf52d404724,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-3396e8f8bcec7a9db39bd1ee,MED-7fb213de8559f3f1500a7267,MED-bb07eb86fdee3797802ca361,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-3d55af40cdf6ab7b7eed27ea,MED-5712358c427b03a6a180d793,MED-b67a2f6fea8ba4deac975423,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-446cb92fec2dcf94a847571a,MED-7838525ceca962a33207e004,MED-dd742a3576318dd6c85c0121,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-51abc60d3a7fef8ea15f0bbc,MED-2f64eb7789542f36eea56c0e,MED-39a9ece6cb365a4a95e3dd01,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-53c5153efbe067c32a2bcc43,MED-45447393272786c3c5b9f538,MED-c6049a007d56ed39f7b967fa,manufacturer;ingredients;strength;dosage_form,brand,0.8889,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-566b0e176ef46a67b5d9e2e9,MED-932a2473cb9aef66b525549d,MED-e72533165e9db0c9fd0dcc85,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-56ffd6fa1d596e821efbcb92,MED-055ca51b229cc6fc4fa681f9,MED-f21d26b357a261c2377da571,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-5aceb41e6406f1ae5d5e0f60,MED-b3cd2f20bd08ee46bc1efcf1,MED-e0921b8ccc6105907b1d2ef1,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-5e5d75b3a3213e6ed2acd7ad,MED-6e4d4f3339d09f97564838fa,MED-8473165356a74fb9ac3ec541,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-70a7580b93f1960efa957c9c,MED-1fbb4c526aeb912fd9da0431,MED-b1d7f22aa782c934f21848c4,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-7dfc2a59107e0992d3e876f7,MED-c3c0cb2ce0fa3ca6d5b945b8,MED-d21ec80f768c5b297f84d69b,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-80135d7af35df747cd641462,MED-0834e2f5d9f9e0190998d485,MED-d4d901bf48c7df70d7dfd0b6,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-855ed8e9cd66edc4145f13f6,MED-458365069818f8c107135a5c,MED-9e6516491eb3fc7f94ae0312,manufacturer;ingredients;strength;dosage_form,brand,0.9474,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-88cc5fcdc258caa2140c236c,MED-706d1871f047f32c50f8a1ff,MED-d448c7cd57d4d1437efd66f5,manufacturer;ingredients;strength;dosage_form,brand,0.9091,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-908a17451064aa8bcd4738f1,MED-69dceed5c8e81b2764759c78,MED-b1d8d21a59c35fdb0d43653e,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-a1715bf4ca610a68ad10a325,MED-6a81c0e3931f302e4c2fac72,MED-a031a35f37bdbccfdeb1af4a,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-a2c268d3337a44062c795b5b,MED-2ebcb284a4ef5085c2fa7179,MED-fdf33dccdfedd8d023a492df,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-ac1584067bff1b36e6f938a3,MED-0be6d7492df7c109759792f8,MED-9555f69d5ba4c141b81904b4,manufacturer;ingredients;strength;dosage_form,brand,0.9524,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-ad0ab6cf1185a93c5f070294,MED-b920ceb29882415776cbb3c2,MED-d1a6932096c0f3af9beba38b,manufacturer;ingredients;strength;dosage_form,brand,0.9333,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-af7d348f8e66590f3c44d47c,MED-1fba1637fc72a96628d73954,MED-9c7a71e8d456c2c51102795e,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-ba5b2f5d5f77f07367d46dd4,MED-8ca20d6f672cad53e53c134e,MED-e06298a31bdc3c86d0eff0a9,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-d3a66b3b421fb1b61d751de5,MED-82e319bf2bc1eef93d253538,MED-f65d4bd9e401e9ab917664e8,manufacturer;ingredients;strength;dosage_form,brand,0.9000,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-d6a12f88a19bb17115308fdf,MED-3c672c2c86f8bd6c976eab9c,MED-9a3b1e422750715ef991a4cf,manufacturer;ingredients;strength;dosage_form,brand,0.8800,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-e1b14c0dd851421f3b101859,MED-b3bb2a60b79c56ba54b2fca8,MED-d90fa50036f26c5d91dcee0b,manufacturer;ingredients;strength;dosage_form,brand,0.8889,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-eb832b4eab78f097913e4c0f,MED-09edb337a5e50f74f8009c63,MED-86ce90eeb9346a6d551fd17a,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-f21f780af6fb7973c38dbcb0,MED-09955101c47b83a2316f408a,MED-3ee00040c9c404202898dd2e,manufacturer;ingredients;strength;dosage_form,brand,0.9231,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-f9315e709302fe77f8edf07b,MED-300e1a5d13067db559f97f49,MED-c432cd1fbb4bb11254074143,manufacturer;ingredients;strength;dosage_form,brand,0.9412,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-fcaad1dab8ba6dfdd170dbe7,MED-59b2a412e0a91edb540703fb,MED-83f952e044c1b0ad52d0cc37,manufacturer;ingredients;strength;dosage_form,brand,0.8800,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
DUP-fde9273d4312cc463165d650,MED-0b9d104f157e02273ee4cb4c,MED-a621b220b8d8a621f3243e0d,manufacturer;ingredients;strength;dosage_form,brand,0.8889,FUZZY_BRAND_ONLY,MEDIUM,PENDING_REVIEW
