price_id,medicine_id,package_id,amount,currency,price_basis,price_original,source_record_id,price_source,price_status,price_basis_verified,price_current_verified,price_comparison_eligible,savings_calculation_eligible
PRICE-000087891d350148f83e7550,MED-117f123460d84d74979d9826,PKG-820593510e6324b8146b328e,601.81,BDT,PACKAGE,"Unit Price: ৳ 6.02,(100's pack: ৳ 601.81),",SRCM-9bffefde0186d4ff7b5e5d6d,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-000142af788fb58c9fef3775,MED-a7d9906185b72de3163920fc,PKG-987bcda117fe8e02d70113ac,60.00,BDT,PACKAGE,"Unit Price: ৳ 2.00,(30's pack: ৳ 60.00),",SRCM-3e01cf469b35b4c644b0b1b0,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-0002575be83aac9a667a5952,MED-12fdeeaff98613eeec35d832,,2.50,BDT,UNKNOWN,2.50 Tk,SRCR-a559ea36e119799b57fe8d50,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-000305670257858feac54708,MED-2f56ca8e57a0298e9725973d,,,,UNKNOWN,0,SRCR-70176417cbe5432dffd8fdb6,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-00056e41cf9419bd7dab5c19,MED-4d0e19e11c1dd03f183a1274,PKG-594f42e8ec07a51d1834dcc3,405.00,BDT,PACKAGE,"Unit Price: ৳ 9.00,(45's pack: ৳ 405.00),",SRCM-07f99df1f5f27f74b8e005dd,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-000717ea8ec4376414a480d1,MED-17b45b45ca73915a2542b568,PKG-ad1626c7e8df4e6603eed17c,8.03,BDT,UNIT,"Unit Price: ৳ 8.03,(50's pack: ৳ 401.50),",SRCM-33d0c9c7a82f7ad6711aeed8,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-00096217fe12c76be9146db0,MED-7b86f4b78d6bd49665d5c595,PKG-c37155b1401ca1c9d7dfea0f,12.03,BDT,UNIT,"Unit Price: ৳ 12.03,(30's pack: ৳ 360.90),",SRCM-54a254cf68dc67eb348a9845,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-0009e947b8c3ada3d1dfb699,MED-29fec72707ae77e9ee6efca6,,,,UNKNOWN,0,SRCR-d0de54d30041eb01ae21716e,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-000b3e5a1ffbc72c10d89738,MED-3f780581580fab7524e07389,PKG-d662e68eeda4868970743637,448.00,BDT,PACKAGE,"Unit Price: ৳ 16.00,(28's pack: ৳ 448.00),",SRCM-3b94cf5ab559b09ff10cf2a7,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-000b8d96b87e1c3288c705aa,MED-e83fe2926ede82661dc4354a,PKG-7a56760871935aa382394f28,22.00,BDT,UNIT,"Unit Price: ৳ 22.00,(20's pack: ৳ 440.00),",SRCM-3615896abe5e0777f9a32f45,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-000d0dbea64f6fe69f0eadc6,MED-7533529cb1c8d8ba92ac9c77,,,,UNKNOWN,0,SRCR-a9744fb9796d4ff2e6dbfcd5,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-000d779c3c1df1aead8f2f20,MED-aaf1c231b34fb098da82d422,,15.11,BDT,UNKNOWN,15.11 Tk,SRCR-dd1d7aa1b150644f9fec55b4,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
