source_record_id,medicine_id,source_name,source_row_number,outcome,reason_codes
SRCM-2f0c38db4b2d47c9540581c3,MED-2a77d3d892c0719d2fc54e51,MARKET,2,UNMATCHED_VALID,
SRCM-d7e980a4b1591374ca7655ba,MED-7b7739e79af6690c42c6160b,MARKET,3,UNMATCHED_VALID,
SRCM-4bace686f1c944f0c88a7913,MED-45bd8358595dfccf7243ee1e,MARKET,4,UNMATCHED_VALID,
SRCM-d6af45043002813dd43a9126,MED-892c8b4a5b4fed7e826ea8d0,MARKET,5,UNMATCHED_VALID,
SRCM-b3916d33a3c3c7c888cc31de,MED-b2d69c7148040f5c72439147,MARKET,6,UNMATCHED_VALID,
SRCM-4e8a4a1cd01c335b644883e3,MED-4e2949e3b7f3bdb67035d70e,MARKET,7,UNMATCHED_VALID,
SRCM-a545cb89035c841623a3267d,MED-943c67fa5b7f44b45f060a83,MARKET,9,UNMATCHED_VALID,
SRCM-2f76b863e90bd449b17a4c9b,MED-a2359d440c15e32c0115527e,MARKET,10,UNMATCHED_VALID,
SRCM-69ea7228af4305114601e380,MED-0d0fc3d90c868e11c6267470,MARKET,11,UNMATCHED_VALID,
SRCM-1d6e2ee2b9c59a59f8550551,MED-b2c6d07eadeec4b4c9da8f3a,MARKET,12,UNMATCHED_VALID,
SRCM-ff0d903772589d97d62e168a,MED-f26dc7ac2bd4bf6adeff399d,MARKET,13,UNMATCHED_VALID,
SRCM-57a22b06b7efe89bcfb8a95a,MED-edbed449c7a9bd480ed3e7cb,MARKET,14,UNMATCHED_VALID,
SRCM-4a467614b5618a4082b1a8af,MED-1b885c1a5edc38f571c3ff99,MARKET,16,UNMATCHED_VALID,
SRCM-7bc6cfdb4808cf0134594821,MED-6f3fe94ef5df3241888a9fce,MARKET,17,UNMATCHED_VALID,
SRCM-ade717db322884a87016e8b6,MED-87c1bf5f0e374c14c49ce5ec,MARKET,18,UNMATCHED_VALID,
SRCM-11595f2b015aa65e3858d5b9,MED-b4e0999b1b87129402da9add,MARKET,19,UNMATCHED_VALID,
SRCM-43adf6e4f9239022d518006d,MED-252abb68de90cf87a6988aea,MARKET,20,UNMATCHED_VALID,
SRCM-1b03cd15dc71c105ac5ec29b,MED-0b8c9994116ea931dd3ab7fb,MARKET,21,UNMATCHED_VALID,
SRCM-bceabbe783b545edb5e19296,MED-818ef5fc3c1f31ce421759ed,MARKET,22,UNMATCHED_VALID,
SRCM-75af64684e1dee12b4644b34,MED-672224e843223fe5d785d2aa,MARKET,23,UNMATCHED_VALID,
SRCM-184265893fb2e802ef8bf523,MED-ece11d514fa65139824a36d4,MARKET,24,UNMATCHED_VALID,
SRCM-ec1355a6d93201cbcbd9c965,MED-9cce5dac43fd2e2543b78f9e,MARKET,25,UNMATCHED_VALID,
SRCM-aa47211778c44250b3d7956b,MED-bc936dfc374b0cc8c0843fb1,MARKET,26,UNMATCHED_VALID,
SRCM-6a717be76e42f6070a92c222,MED-4b6c17f99fb73ecc7d8c0722,MARKET,27,UNMATCHED_VALID,
SRCM-69b97bd1a17d61261713475d,MED-2a72fe65db47df8a296bade0,MARKET,28,UNMATCHED_VALID,
SRCM-640ca37159c0e64d17c2203a,MED-37492d38b86772df55dee211,MARKET,29,UNMATCHED_VALID,
SRCM-f8b868af9bb463b4e6bb44ca,MED-597ff5e186e1a85a4b12c8ed,MARKET,31,UNMATCHED_VALID,
SRCM-db8e1f5c7ea9215fe3002b7a,MED-7c7f04e26a9f59b32a619b7d,MARKET,32,UNMATCHED_VALID,
SRCM-449c392b149ab84b68dfea68,MED-38e16f0bd2cc26c9f27fba7d,MARKET,33,UNMATCHED_VALID,
SRCM-6a39e2f327a97121973ddafa,MED-264f30a1dab26f9ade69cf69,MARKET,34,UNMATCHED_VALID,
SRCM-8e9e4d552c7d0954b335ed1d,MED-e7a3f024fa82cc0ff5ac0d1e,MARKET,35,UNMATCHED_VALID,
SRCM-11d79c237bfb2736d50725ee,MED-f1a75c6e3c7ce49565cba3b7,MARKET,36,UNMATCHED_VALID,
SRCM-fba57caab313613244d872d0,MED-a09f0aa4eab6bba9084af738,MARKET,37,UNMATCHED_VALID,
SRCM-773db5ed0e42077e3454dc1c,MED-3bdf5a67b387c3f004f3f62e,MARKET,38,UNMATCHED_VALID,
SRCM-0e23bad52c2c7b24d378db6a,MED-afc66766f39e2daae9d9e096,MARKET,39,UNMATCHED_VALID,
SRCM-911641a9e7f12c90c845e9f3,MED-99952d8fe2669db487bed541,MARKET,40,UNMATCHED_VALID,
SRCM-abdd216b3ed78232c72dcf73,MED-986a0f98e1e973c95524c414,MARKET,41,UNMATCHED_VALID,
SRCM-0a907703bdf550cfa6710749,MED-3159222075183ac8def19857,MARKET,42,UNMATCHED_VALID,
SRCM-ffeeb18244a455b48224b474,MED-0c7499f70614b19c7debde8e,MARKET,43,UNMATCHED_VALID,
SRCM-57adee8e6736103aa8566ca7,MED-3dd0accec0b44244e5e58c61,MARKET,45,UNMATCHED_VALID,
SRCM-247cbd322383fd72c8c91b64,MED-d13327a76b658ee5cf88b719,MARKET,46,UNMATCHED_VALID,
SRCM-a65c368b290446af5dca6397,MED-4d723a70dc60276be416b56f,MARKET,47,UNMATCHED_VALID,
SRCM-f95ddb7af9d9feca595b05d4,MED-932849bf2e2e7f7133f8cc8d,MARKET,48,UNMATCHED_VALID,
SRCM-297192de9093a0d0a8f7d2b8,MED-849d21c11ea5f7d100b23bbd,MARKET,49,UNMATCHED_VALID,
SRCM-924458a7cc41ed93b5c72dad,MED-a1e7b96a2e1d5fdca23da3eb,MARKET,50,UNMATCHED_VALID,
SRCM-fb7a4eabfcd4fb1cae75a63b,MED-8da00a56aa39681b9d71246d,MARKET,51,UNMATCHED_VALID,
SRCM-e0cfbc738eec83c92a7133b2,MED-2a86a0f75efdc6a6b75a4945,MARKET,52,UNMATCHED_VALID,
SRCM-c26666f4e568874e869517cb,MED-c5360173d1baac349b1c395c,MARKET,53,UNMATCHED_VALID,
SRCM-66753dc6af791214e23cd1be,MED-3a5f7f9d5c921c26bf9dde36,MARKET,54,UNMATCHED_VALID,
SRCM-71bc5e05dbcfc592bc2f7c11,MED-50c7e66fcdd1d5d03fdde6fb,MARKET,55,UNMATCHED_VALID,
SRCM-35ef8b5c1b7a2d89508ed63a,MED-cf1db8f3f3d502c361fe4f41,MARKET,56,UNMATCHED_VALID,
