rank,review_type,medicine_id,related_medicine_id,reason_code,priority_score,status
1,CONFLICT,MED-6d8a5d5bf0d414bb85056add,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
2,CONFLICT,MED-2495f34e316cc615c7792060,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
3,CONFLICT,MED-db02eaad7a84e29e38021276,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
4,CONFLICT,MED-65eec4fc3f3041510d1081e0,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
5,CONFLICT,MED-4ea0b915a5360029b90bb898,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
6,CONFLICT,MED-8635227b1cf1c5f84bdbae49,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
7,CONFLICT,MED-430a3792012beeb0b7ca25bf,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
8,CONFLICT,MED-5c92ad975e1d7231a5495e2a,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
9,CONFLICT,MED-d77c491712e8cd2f732fd041,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
10,CONFLICT,MED-e1f799c0f1fc7905ba8ca268,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
11,CONFLICT,MED-6d124f812508ae4a28fbbe15,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
12,CONFLICT,MED-e4374d7314a55d795a12b347,,REGISTRATION_IDENTITY_CONFLICT,110,PENDING_REVIEW
13,CONFLICT,MED-6b48d85cfcb54f078f76a73f,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
14,CONFLICT,MED-85f56fbb6ba71e1feaa531cd,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
15,CONFLICT,MED-d4204cf5307c9970b17464b5,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
16,CONFLICT,MED-1474fb61f25129509e7b854b,,REGISTRATION_IDENTITY_CONFLICT,110,PENDING_REVIEW
17,CONFLICT,MED-83492ddba9efe995a683dfbb,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
18,CONFLICT,MED-47d6dc5878d8d342cb5af265,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
19,CONFLICT,MED-bd9ec875405c70f0c49d5405,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
20,CONFLICT,MED-b4b71dbc693dbe492b334c82,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
21,CONFLICT,MED-f6c7bcd4c22c767774326bf2,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
22,CONFLICT,MED-09b5482d5f45552f88353620,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
23,CONFLICT,MED-1133390826a1b623f39c1922,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
24,CONFLICT,MED-9b04764151aa54f22eda59c7,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
25,CONFLICT,MED-76e8a1c0839b8132611a9c1d,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
26,CONFLICT,MED-39fc7f64d685ca3e02805901,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
27,CONFLICT,MED-567184b7480ff9f4ddc70c08,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
28,CONFLICT,MED-82c132a2320bc841d3b03131,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
29,CONFLICT,MED-5a3db24ba67dde0f23db7826,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
30,CONFLICT,MED-0374377a9c7ce9a251bcdc46,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
31,CONFLICT,MED-3eeae17dc1a365ca0bbe361b,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
32,CONFLICT,MED-9a49b7448f1c6e38cd52bde3,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
33,CONFLICT,MED-52c6874f4175e1b70e996918,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
34,CONFLICT,MED-1cb2d356ad08c99293b00f53,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
35,CONFLICT,MED-520ec997703e4b262d09dce1,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
36,CONFLICT,MED-89b10ccc5bd65ddb2fb9aaf1,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
37,CONFLICT,MED-26984bb9c525c913939a7115,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
38,CONFLICT,MED-f7a2c502df80e2795473a02b,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
39,CONFLICT,MED-685f7f2cc569f8fd3b5c67b9,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
40,CONFLICT,MED-80e39ebcd9f44e5562507344,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
41,CONFLICT,MED-58e8c7af65f470a5956d50f1,,REGISTRATION_IDENTITY_CONFLICT,110,PENDING_REVIEW
42,CONFLICT,MED-b90fb6ad3f132d269e8a28f9,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
43,CONFLICT,MED-ba0f2d7a94314320384d9a11,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
44,CONFLICT,MED-ea3a027a317d8d4ed919bb37,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
45,CONFLICT,MED-557a14615e7f276a612b6031,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
46,CONFLICT,MED-3ad4f7bbf4b6ae9c3cd971d3,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
47,CONFLICT,MED-4bac56f19734ee1563c009ce,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
48,CONFLICT,MED-aed047e91df6d6202f53c573,,AMBIGUOUS_SHARED_DENOMINATOR,110,PENDING_REVIEW
49,CONFLICT,MED-06603e6ec9caec5c61920478,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
50,CONFLICT,MED-3e34d6e0d515b4935f5fe1af,,CROSS_SOURCE_INGREDIENT_CONFLICT,110,PENDING_REVIEW
